---TextKey---;---Translated Text---
Dialog_Dad_5;सैम: ऐसा इसलिए है क्योंकि मुझे टीम के लिए नहीं चुना गया था...
Dialog_Dad_6;पापा : अरे वो तो भूल ही जाओ ! तुम खेल से प्यार करते हैं! एक झटके को तुम उस चीज़ को बर्बाद नहीं होने दे सकते जिसे तुम बहुत प्यार करते हो। हम एक साथ अभ्यास कर सकते हैं!
Dialog_Dad_7;सैम: … आप नाराज नहीं है? मैंने इसे पहले कोशिश नहीं की?
Dialog_Dad_8;पिताजी: बिल्कुल नहीं! लेकिन अगर तुम हार मान लोगे तो मैं हो सकता हूं ।
Dialog_Dad_9;सैम: ... हाँ। मैं आपके साथ अभ्यास करूँगा!
Dialog_Dad_10;"पिताजी: बढ़िया! ओह,"" यह मत भूलना। मैं तुम्हें बाद में मिलूंगा ।"
Dialog_Dad_11;*आपके पास एक साथी चमगादड़ है!*
Dialog_Dad_12;सैम: ओह। एक और । लगता है इधर-उधर देखते रहना पड़ेगा।
Dialog_Bandit_1;बैंडिट : अरे! सैम! यहाँ पर!
Dialog_Bandit_2;सैम: बैंडिट? जब से हम चले गए मैंने तुम्हें नहीं देखा ...
Dialog_Bandit_3;बैंडिट :सही
Dialog_Bandit_4;सैम: क्या यह एक स्क्रीन पर अजीब नहीं है?
Dialog_Bandit_5;बैंडिट: अगर तुम इसे बनाते हो तो ही! लेकिन मुझे तुम्हारे साथ घूमने के लिए कोई भी बहाना अच्छा लगेगा! अगर तुम्हें अजीब लगे तो मैं खुद तुम्हारे पास आ जाऊंगा!
Dialog_Bandit_6;सैम: हाँ ठीक है... मुझे लगता है कि यह मजेदार है ... मुझे सच में तुम्हारी याद आती है।
Dialog_Bandit_7;बैंडिट:ओह
Dialog_Bandit_8;*आपके पास एक साथी चमगादड़ है!*
Dialog_Bandit_9;सैम: हाँ। हम रहेंगे । जल्द ही मिलते हैं!
Dialog_Nicos_1;निकोस : सैम। कैसे हो तुम?
Dialog_Nicos_2;सैम: निकोस । मैं एक खौफनाक जंगल में फंस गया हूँ। तुम क्या सोचते है?
Dialog_Nicos_3;निकोस : मेह * श्रग्स *
Dialog_Nicos_4;सैम: यह देख कर खुश रहोगी तुम हमेशा की तरह जवाब देने में सरल हो...
Dialog_Nicos_5;निकोस : हम दोनों की चीजों पर वास्तव में बड़ी प्रतिक्रिया नहीं होती है। इसलिए जब हमारे पास बैंडिट जैसा दोस्त होता है तो हम बहुत अच्छे से साथ रहते हैं।
Dialog_Nicos_6;सैम: … मुझे लगा कि तुम मेरे रवैये से नाराज़ हो…
Dialog_Nicos_7;"निकोस : तुम्हें ऐसा क्यों  लगता है? मुझे तुम पसंद हो,"" सैम। तुम्हारा व्यंग्य प्रफुल्लित करने वाला है।"
Dialog_Nicos_8;सैम: ओह... धन्यवाद।
Dialog_Nicos_9;निकोस : कोई बात नहीं। क्या तुम मुझे अपने खेल के बारे में बताओ गे जो तुम खेल रही हो कल दोपहर के खाने पर?  वादा करो।
Dialog_Nicos_10;सैम: मैं वादा करता हूँ।
Dialog_Nicos_11;निकोस : बढ़िया! फिर मिलते हैं। अब इसे भी अपने साथ ले जाओ।
Dialog_Nicos_12;*आपके पास एक साथी चमगादड़ है!*
Dialog_Nicos_13;सैम: हाँ, हाँ , मैं जा रहा हूँ। 
Dialog_Gabe_1;गेब: वहाँ कौन है?
Dialog_Gabe_2;सैम: गेब। यह मैं हूँ।
Dialog_Gabe_3;गेब: कौन?
Dialog_Gabe_4;सैम सैम।
Dialog_Gabe_5;गेब: कौन?
Dialog_Gabe_6;सैम: आपका छात्र?
Dialog_Gabe_7;गेब: कौन ?
Dialog_Gabe_8;सैम: मैं तुम्हारे साथ दोबारा आपके साथ नहीं कर रहा हूं।
Dialog_Gabe_9;गेब: * हंसते हुए * मैं बस तुम्हारे साथ मजाक कर रहा हूँ। तुम बहुत मेहनत कर रहे हो सैम।
Dialog_Gabe_10;"सैम: हाँ,"" हाँ। सब मेहनत का नतीजा है और-"
Dialog_Gabe_11;गेब: इतना ही नहीं। मुझे पता है कि परिवर्तन मुश्किल हो सकता है और तब से तुम अपने जीवन में बहुत सी छोटी-छोटी बातों का सामना कर रहे हैं।
Dialog_Gabe_12;सैम: यह ठीक है... मैं ठीक हूँ।
Dialog_Gabe_13;"गेब: तुम ऐसा कह सकते हो"", लेकिन वास्तव में,"" क्या कोई ठीक है?"
Dialog_Gabe_14;सैम: ठीक है बाकी सब ...
Dialog_Gabe_15;"गेब: हर कोई किसी न किसी के साथ संघर्ष करता है,"" सैम। तुम कभी अकेले नहीं हो। तुम्हें बस देखना है ।"
Dialog_Gabe_16;सैम: इसलिए मैंने अपने इकोलोकेशन के साथ अन्य लोगों को देखा है?
Dialog_Gabe_17;गेब: शायद। हो सकता है कि बाहर तक पहुँचने से दूसरों को भी ऐसा करने के लिए प्रोत्साहन मिले।
Dialog_Gabe_18;गेब: बिल्कुल । लेकिन अपने संघर्षों का डटकर सामना करना अकेले मुश्किल हो सकता है। क्या तुम्हें सुनिश्चित हैं कि आप पर्याप्त रूप से तैयार महसूस कर रहे हैं?
Dialog_Gabe_19;गेब: तो ठीक है। मैं तुम्हें शुभकामना देता हूं सैम, और मुझे आशा है कि तुम मेरी कक्षा के अंदर और बाहर दोनों जगह प्रयास करते रहेंगे। इसे लो।
Dialog_Gabe_20;सैम: मुझे अभी पता नहीं है ...
Dialog_Gabe_21;गेब: तो ठीक है। मैं तुम्हें शुभकामना देता हूं सैम, और मुझे आशा है कि तुम मेरी कक्षा के अंदर और बाहर दोनों जगह प्रयास करते रहेंगे। इसे लो।
Dialog_Gabe_22;*आपके पास एक साथी चमगादड़ है!*
Dialog_Gabe_23;"सैम: धन्यवाद,"" गेब"
Dialog_Gabe_24;गेब: कौन? 
Dialog_Gabe_25;सैम: नहीं।
Dialog_Gabe_26;गेब: * हंसते हुए * तुम्हें चिढ़ाना इतना आसान है। जारी रखो। लेकिन यह मत भूलो कि जरूरत पड़ने पर आप हमेशा शुरुआत से शुरू कर सकते हैं। इन चीजों में आपकी आवश्यकता के अनुसार समय लग सकता है, और यह अंत नहीं है।
Dialog_Gabe_27;सैम: ज़रूर। हरचीज के लिए धन्यवाद। 
Dialog_Monster_1;राक्षस: तो तुम आखिरकार मेरे पास पहुंच ही गए। मुझे आश्चर्य है कि तुम अपने सिर से बाहर नहीं निकल सकते।
Dialog_Monster_2;राक्षस: मुझे संदेह है कि यह तुम्हें बहुत दूर ले जाएगा। तुम अपना कमरा आधा समय भी नहीं छोड़ सकते।
Dialog_Monster_3;राक्षस: और प्रिय बूढ़े पिताजी के बारे में क्या? उन्होंने तुम्हें खेल के बारे में सब कुछ सिखाया और फिर भी तुम टीम नहीं बना सकते? 
Dialog_Monster_4;राक्षस: हम्म। स्थानांतरण की संभावना ने आपको फसा दिया है और अकेले छोड़ दिया है। बेचारा बैंडिट । आप उन्हें फिर कभी नहीं देख पाएंगे।
Dialog_Monster_5;राक्षस: निकोस वास्तव में तुम्हें पसंद नहीं करता है। तुम मतलबी और व्यंग्यात्मक हो। ऐसा दोस्त कौन चाहेगा?
Dialog_Monster_6;राक्षस: मिस्टर गेब को तुम सिर्फ इसीलिए पसंद हो क्योंकि तुम कक्षा में सफलता प्राप्त करते हो । यदि तुम सफल नहीं हो सके तो तुम कुछ भी नहीं होगे।
Dialog_Monster_7;राक्षस: उम-
Dialog_Monster_8;राक्षस: आपको सच में लगता है कि वे परवाह करते हैं? कि तुम मायने रखते हो?
Dialog_Monster_9;राक्षस: मैं सही हूँ। मैं सभी से यही कह रहा हूं।
Dialog_Sam_Win_1;
Dialog_Sam_Win_2;सैम: यह एक सुरक्षित जगह है... इसके अलावा जब मैं बाहर आने के लिए तैयार होऊंगा तो मेरी माँ हमेशा मेरा इंतज़ार कर रही होंगी।
Dialog_Sam_Win_3;सैम: पिताजी मेरे साथ खेलने में समय बिताते हैं क्योंकि वह मुझसे प्यार करते हैं। ऐसा नहीं है कि वह मेरे माध्यम से सफलता पाना चाहते हैं । 
Dialog_Sam_Win_4;मुझे बेसबॉल पसंद है और मुझे अपने पिता के साथ खेलना पसंद है। मैं इसे मेरे लिए बर्बाद नहीं होने दूंगा।
Dialog_Sam_Win_5;सैम: इंटरनेट मौजूद है। लेकिन फिर भी, बैंडिट अभी भी मेरे साथ है और हमारे पास जो मजेदार समय था वह कभी फीका नहीं होगा। भले ही हमारे बीच दूरियां हों।  
Dialog_Sam_Win_6;सैम: अगर निकोस ने मुझे स्वीकार नहीं किया कि मैं कौन हूं तो वह शुरू करने के लिए दोस्त नहीं था। लेकिन वह करता है। वह मेरा दोस्त बनना पसंद करता है और मुझे उसका होना पसंद है।
Dialog_Sam_Win_7;"सैम: सफल होना मेरी योग्यता के बराबर नहीं है। गेब यह जानते हैं। इसलिए उन्होंने इतने लंबे समय तक मेरा साथ दिया,"" तब भी जब मैं संघर्ष कर रहा था ।"
Dialog_Sam_Win_8;सैम: असल में... बस इतना ही.. यही मेरा दिमाग मुझे इस पूरे समय दिखा रहा है। यह सिर्फ मिस्टर गेब नहीं है... 
Dialog_Sam_Win_9;यहां हर कोई मेरा समर्थन करने की कोशिश कर रहा है। मैं बस... देखने के लिए तैयार नहीं था। मदद मांगने को तैयार नहीं था .. लेकिन अब मैं हूं।
Dialog_Sam_Win_10;सैम: बेशक मैं करता हूँ। और मैं तुम्हें अब और उपभोग नहीं करने दूँगा। मैं घर जा रहा हूँ।
Dialog_Sam_Lose_2;सैम: तुम नहीं जानते कि आप किस बारे में बात कर रहे हैं ...
Dialog_Sam_Lose_3;सैम: वह बहुत परेशान लग रहे थे।
Dialog_Sam_Lose_4;सैम: बैंडिट … (उदास चेहरा)
Dialog_Sam_Lose_5;सैम: मैं ऐसा ही हूं... लेकिन...
Dialog_Sam_Lose_6;सैम:… शायद तुम… ठीक हो…
Dialog_Sam_Lose_7;सैम: नहीं.. नहीं!
Dialog_Sam_Lose_8;सैम: मैं कहाँ हूँ? यह कौन सी जगह है?
Sialog_KeepTrying;कोशिश करते रहो
Whisper_1;तुम्हारे पीछे
Whisper_2;[डरावना आवाज़]
Whisper_3;कभी-कभी जो चीजें आप परछाई में देखते हैं, वे सिर्फ परछाई से ज्यादा होती हैं
Whisper_4;कुछ चीजें हैं जिन्हें आप भूलने के लिए पर्याप्त मजबूत नहीं हैं
Whisper_5;[डरावना आवाज़]
Whisper_6;मैं वापस आऊंगा
Whisper_7;मैं तुम्हें जाने नहीं दूंगा
Whisper_8;वह तुम्हें याद नहीं रखेंगे
Whisper_9;मुझे लगता है तुम बेवकूफ हो
Whisper_10;मुझे पता है तुम मुझे देख नहीं सकतेमुझे पता है तुम मुझे देख नहीं सकते
Whisper_11;तुमने सब खराब कर दिया
UI_StartGame;खेल शुरू
UI_Resume;फिर शुरू करना
UI_Home;घर
UI_How;कैसे खेलें?
UI_Move;चलना
UI_Jump;कूदना
UI_Echo;एकोलोकेशन
UI_Talk;बात करना
UI_Credits;क्रेडिट
